Date,Price
"Mar 1, 2003",846.63
"Feb 1, 2003",837.03
"Jan 1, 2003",895.84
"Dec 1, 2002",899.18
"Nov 1, 2002",909.93
"Oct 1, 2002",854.63
"Sep 1, 2002",867.81
"Aug 1, 2002",912.55
"Jul 1, 2002",903.59
"Jun 1, 2002",1014.02
"May 1, 2002",1079.25
"Apr 1, 2002",1111.93
"Mar 1, 2002",1153.79
"Feb 1, 2002",1100.67
"Jan 1, 2002",1140.21
"Dec 1, 2001",1144.93
"Nov 1, 2001",1129.68
"Oct 1, 2001",1076.59
"Sep 1, 2001",1044.64
"Aug 1, 2001",1178.50
"Jul 1, 2001",1204.45
"Jun 1, 2001",1238.71
"May 1, 2001",1270.37
"Apr 1, 2001",1189.84
"Mar 1, 2001",1185.85
"Feb 1, 2001",1305.75
"Jan 1, 2001",1335.63
"Dec 1, 2000",1330.93
"Nov 1, 2000",1378.04
"Oct 1, 2000",1390.14
"Sep 1, 2000",1468.05
"Aug 1, 2000",1485.46
"Jul 1, 2000",1473.00
"Jun 1, 2000",1461.96
"May 1, 2000",1418.48
"Apr 1, 2000",1461.36
"Mar 1, 2000",1442.21
"Feb 1, 2000",1388.87
"Jan 1, 2000",1425.59
"Dec 1, 1999",1428.68
"Nov 1, 1999",1391.00
"Oct 1, 1999",1300.01
"Sep 1, 1999",1318.17
"Aug 1, 1999",1327.49
"Jul 1, 1999",1380.99
"Jun 1, 1999",1322.55
"May 1, 1999",1332.07
"Apr 1, 1999",1334.76
"Mar 1, 1999",1281.66
"Feb 1, 1999",1246.58
"Jan 1, 1999",1248.77
"Dec 1, 1998",1190.05
"Nov 1, 1998",1144.43
"Oct 1, 1998",1032.47
"Sep 1, 1998",1020.64
"Aug 1, 1998",1074.62
"Jul 1, 1998",1156.58
"Jun 1, 1998",1108.39
"May 1, 1998",1108.42
"Apr 1, 1998",1112.20
"Mar 1, 1998",1076.83
"Feb 1, 1998",1023.74
"Jan 1, 1998",963.36
"Dec 1, 1997",962.37
"Nov 1, 1997",938.92
"Oct 1, 1997",951.16
"Sep 1, 1997",937.02
"Aug 1, 1997",927.24
"Jul 1, 1997",925.29
"Jun 1, 1997",876.29
"May 1, 1997",833.09
"Apr 1, 1997",763.93
"Mar 1, 1997",792.16
"Feb 1, 1997",798.39
"Jan 1, 1997",766.22
"Dec 1, 1996",743.25
"Nov 1, 1996",735.67
"Oct 1, 1996",701.46
"Sep 1, 1996",674.88
"Aug 1, 1996",662.68
"Jul 1, 1996",644.07
"Jun 1, 1996",668.50
"May 1, 1996",661.23
"Apr 1, 1996",647.17
"Mar 1, 1996",647.07
"Feb 1, 1996",649.54
"Jan 1, 1996",614.42
"Dec 1, 1995",614.57
"Nov 1, 1995",595.53
"Oct 1, 1995",582.92
"Sep 1, 1995",578.77
"Aug 1, 1995",559.11
"Jul 1, 1995",557.37
"Jun 1, 1995",539.35
"May 1, 1995",523.81
"Apr 1, 1995",507.91
"Mar 1, 1995",493.15
"Feb 1, 1995",481.92
"Jan 1, 1995",465.25
"Dec 1, 1994",455.19
"Nov 1, 1994",461.01
"Oct 1, 1994",463.81
"Sep 1, 1994",466.96
"Aug 1, 1994",464.24
"Jul 1, 1994",451.40
"Jun 1, 1994",454.83
"May 1, 1994",450.90
"Apr 1, 1994",447.23
"Mar 1, 1994",463.81
"Feb 1, 1994",471.58
"Jan 1, 1994",472.99
"Dec 1, 1993",465.95
"Nov 1, 1993",462.89
"Oct 1, 1993",463.90
"Sep 1, 1993",459.24
"Aug 1, 1993",454.13
"Jul 1, 1993",447.29
"Jun 1, 1993",448.06
"May 1, 1993",445.25
"Apr 1, 1993",443.08
"Mar 1, 1993",450.16
"Feb 1, 1993",441.70
"Jan 1, 1993",435.23
"Dec 1, 1992",435.64
"Nov 1, 1992",422.84
"Oct 1, 1992",412.50
"Sep 1, 1992",418.48
"Aug 1, 1992",417.93
"Jul 1, 1992",415.05
"Jun 1, 1992",408.27
"May 1, 1992",414.81
"Apr 1, 1992",407.41
"Mar 1, 1992",407.36
"Feb 1, 1992",412.56
"Jan 1, 1992",416.08
"Dec 1, 1991",388.51
"Nov 1, 1991",385.92
"Oct 1, 1991",386.88
"Sep 1, 1991",387.20
"Aug 1, 1991",389.40
"Jul 1, 1991",380.23
"Jun 1, 1991",378.29
"May 1, 1991",377.99
"Apr 1, 1991",379.68
"Mar 1, 1991",372.28
"Feb 1, 1991",362.26
"Jan 1, 1991",325.49
"Dec 1, 1990",328.75
"Nov 1, 1990",315.29
"Oct 1, 1990",307.12
"Sep 1, 1990",315.41
"Aug 1, 1990",330.75
"Jul 1, 1990",360.03
"Jun 1, 1990",360.39
"May 1, 1990",350.25
"Apr 1, 1990",338.18
"Mar 1, 1990",338.46
"Feb 1, 1990",330.45
"Jan 1, 1990",339.97
"Dec 1, 1989",348.60
"Nov 1, 1989",340.20
"Oct 1, 1989",347.40
"Sep 1, 1989",347.30
"Aug 1, 1989",346.60
"Jul 1, 1989",331.90
"Jun 1, 1989",323.70
"May 1, 1989",313.90
"Apr 1, 1989",302.30
"Mar 1, 1989",292.70
"Feb 1, 1989",294.00
"Jan 1, 1989",285.40
"Dec 1, 1988",276.50
"Nov 1, 1988",271.00
"Oct 1, 1988",277.40
"Sep 1, 1988",268.00
"Aug 1, 1988",263.70
"Jul 1, 1988",269.10
"Jun 1, 1988",270.70
"May 1, 1988",256.10
"Apr 1, 1988",262.60
"Mar 1, 1988",265.70
"Feb 1, 1988",258.10
"Jan 1, 1988",250.50
"Dec 1, 1987",241.00
"Nov 1, 1987",245.00
"Oct 1, 1987",280.20
"Sep 1, 1987",318.70
"Aug 1, 1987",329.40
"Jul 1, 1987",310.10
"Jun 1, 1987",301.40
"May 1, 1987",289.10
"Apr 1, 1987",289.30
"Mar 1, 1987",292.50
"Feb 1, 1987",280.90
"Jan 1, 1987",264.50
"Dec 1, 1986",248.60
"Nov 1, 1986",245.10
"Oct 1, 1986",237.40
"Sep 1, 1986",238.30
"Aug 1, 1986",245.00
"Jul 1, 1986",240.20
"Jun 1, 1986",245.30
"May 1, 1986",238.50
"Apr 1, 1986",238.00
"Mar 1, 1986",232.30
"Feb 1, 1986",219.40
"Jan 1, 1986",208.20
"Dec 1, 1985",207.30
"Nov 1, 1985",197.50
"Oct 1, 1985",186.20
"Sep 1, 1985",184.10
"Aug 1, 1985",188.30
"Jul 1, 1985",192.50
"Jun 1, 1985",188.90
"May 1, 1985",184.90
"Apr 1, 1985",180.60
"Mar 1, 1985",179.40
"Feb 1, 1985",180.90
"Jan 1, 1985",171.60
"Dec 1, 1984",164.50
"Nov 1, 1984",166.30
"Oct 1, 1984",164.80
"Sep 1, 1984",166.10
"Aug 1, 1984",164.40
"Jul 1, 1984",151.10
"Jun 1, 1984",153.10
"May 1, 1984",156.60
"Apr 1, 1984",157.60
"Mar 1, 1984",157.40
"Feb 1, 1984",157.30
"Jan 1, 1984",166.40
"Dec 1, 1983",164.40
"Nov 1, 1983",165.20
"Oct 1, 1983",167.70
"Sep 1, 1983",167.20
"Aug 1, 1983",162.40
"Jul 1, 1983",167.00
"Jun 1, 1983",166.40
"May 1, 1983",164.10
"Apr 1, 1983",157.70
"Mar 1, 1983",151.90
"Feb 1, 1983",146.80
"Jan 1, 1983",144.30
"Dec 1, 1982",139.40
"Nov 1, 1982",138.10
"Oct 1, 1982",132.70
"Sep 1, 1982",122.40
"Aug 1, 1982",109.70
"Jul 1, 1982",109.40
"Jun 1, 1982",109.70
"May 1, 1982",116.40
"Apr 1, 1982",116.30
"Mar 1, 1982",110.80
"Feb 1, 1982",114.50
"Jan 1, 1982",117.30
"Dec 1, 1981",123.80
"Nov 1, 1981",122.90
"Oct 1, 1981",119.80
"Sep 1, 1981",118.30
"Aug 1, 1981",129.60
"Jul 1, 1981",129.10
"Jun 1, 1981",132.30
"May 1, 1981",131.70
"Apr 1, 1981",134.40
"Mar 1, 1981",133.20
"Feb 1, 1981",128.40
"Jan 1, 1981",133.00
"Dec 1, 1980",133.50
"Nov 1, 1980",135.70
"Oct 1, 1980",130.20
"Sep 1, 1980",126.50
"Aug 1, 1980",123.50
"Jul 1, 1980",119.80
"Jun 1, 1980",114.60
"May 1, 1980",107.70
"Apr 1, 1980",103.00
"Mar 1, 1980",104.70
"Feb 1, 1980",115.30
"Jan 1, 1980",110.90
"Dec 1, 1979",107.80
"Nov 1, 1979",103.70
"Oct 1, 1979",104.50
"Sep 1, 1979",108.60
"Aug 1, 1979",107.40
"Jul 1, 1979",102.70
"Jun 1, 1979",101.70
"May 1, 1979",99.73
"Apr 1, 1979",102.10
"Mar 1, 1979",100.10
"Feb 1, 1979",98.23
"Jan 1, 1979",99.71
"Dec 1, 1978",96.11
"Nov 1, 1978",94.71
"Oct 1, 1978",100.60
"Sep 1, 1978",103.90
"Aug 1, 1978",103.90
"Jul 1, 1978",97.19
"Jun 1, 1978",97.66
"May 1, 1978",97.41
"Apr 1, 1978",92.71
"Mar 1, 1978",88.82
"Feb 1, 1978",88.98
"Jan 1, 1978",90.25
"Dec 1, 1977",93.82
"Nov 1, 1977",94.28
"Oct 1, 1977",93.74
"Sep 1, 1977",96.23
"Aug 1, 1977",97.75
"Jul 1, 1977",100.20
"Jun 1, 1977",99.29
"May 1, 1977",98.76
"Apr 1, 1977",99.05
"Mar 1, 1977",100.60
"Feb 1, 1977",101.00
"Jan 1, 1977",103.80
"Dec 1, 1976",104.70
"Nov 1, 1976",101.20
"Oct 1, 1976",101.90
"Sep 1, 1976",105.50
"Aug 1, 1976",103.30
"Jul 1, 1976",104.20
"Jun 1, 1976",101.80
"May 1, 1976",101.20
"Apr 1, 1976",101.90
"Mar 1, 1976",101.10
"Feb 1, 1976",100.60
"Jan 1, 1976",96.86
"Dec 1, 1975",88.70
"Nov 1, 1975",90.07
"Oct 1, 1975",88.57
"Sep 1, 1975",84.67
"Aug 1, 1975",85.71
"Jul 1, 1975",92.49
"Jun 1, 1975",92.40
"May 1, 1975",90.10
"Apr 1, 1975",84.72
"Mar 1, 1975",83.78
"Feb 1, 1975",80.10
"Jan 1, 1975",72.56
"Dec 1, 1974",67.07
"Nov 1, 1974",71.74
"Oct 1, 1974",69.44
"Sep 1, 1974",68.12
"Aug 1, 1974",76.03
"Jul 1, 1974",79.31
"Jun 1, 1974",89.79
"May 1, 1974",89.67
"Apr 1, 1974",92.46
"Mar 1, 1974",97.44
"Feb 1, 1974",93.45
"Jan 1, 1974",96.11
"Dec 1, 1973",94.78
"Nov 1, 1973",102.00
"Oct 1, 1973",109.80
"Sep 1, 1973",105.60
"Aug 1, 1973",103.80
"Jul 1, 1973",105.80
"Jun 1, 1973",104.80
"May 1, 1973",107.20
"Apr 1, 1973",110.30
"Mar 1, 1973",112.40
"Feb 1, 1973",114.20
"Jan 1, 1973",118.40
"Dec 1, 1972",117.50
"Nov 1, 1972",115.10
"Oct 1, 1972",109.60
"Sep 1, 1972",109.40
"Aug 1, 1972",111.00
"Jul 1, 1972",107.20
"Jun 1, 1972",108.00
"May 1, 1972",107.70
"Apr 1, 1972",108.80
"Mar 1, 1972",107.70
"Feb 1, 1972",105.20
"Jan 1, 1972",103.30
"Dec 1, 1971",99.17
"Nov 1, 1971",92.78
"Oct 1, 1971",97.29
"Sep 1, 1971",99.40
"Aug 1, 1971",97.24
"Jul 1, 1971",99.00
"Jun 1, 1971",99.72
"May 1, 1971",101.60
"Apr 1, 1971",103.00
"Mar 1, 1971",99.60
"Feb 1, 1971",97.11
"Jan 1, 1971",93.49
"Dec 1, 1970",90.05
"Nov 1, 1970",84.28
"Oct 1, 1970",84.37
"Sep 1, 1970",82.58
"Aug 1, 1970",77.92
"Jul 1, 1970",75.72
"Jun 1, 1970",75.59
"May 1, 1970",76.06
"Apr 1, 1970",85.95
"Mar 1, 1970",88.65
"Feb 1, 1970",87.16
"Jan 1, 1970",90.31
"Dec 1, 1969",91.11
"Nov 1, 1969",96.21
"Oct 1, 1969",95.52
"Sep 1, 1969",94.51
"Aug 1, 1969",94.18
"Jul 1, 1969",94.71
"Jun 1, 1969",99.14
"May 1, 1969",104.60
"Apr 1, 1969",101.30
"Mar 1, 1969",99.30
"Feb 1, 1969",101.50
"Jan 1, 1969",102.00
"Dec 1, 1968",106.50
"Nov 1, 1968",105.40
"Oct 1, 1968",103.80
"Sep 1, 1968",101.30
"Aug 1, 1968",98.11
"Jul 1, 1968",100.30
"Jun 1, 1968",100.50
"May 1, 1968",97.87
"Apr 1, 1968",95.67
"Mar 1, 1968",89.09
"Feb 1, 1968",90.75
"Jan 1, 1968",95.04
"Dec 1, 1967",95.30
"Nov 1, 1967",92.66
"Oct 1, 1967",95.66
"Sep 1, 1967",95.81
"Aug 1, 1967",94.49
"Jul 1, 1967",93.01
"Jun 1, 1967",91.43
"May 1, 1967",92.59
"Apr 1, 1967",90.96
"Mar 1, 1967",89.42
"Feb 1, 1967",87.36
"Jan 1, 1967",84.45
"Dec 1, 1966",81.33
"Nov 1, 1966",80.99
"Oct 1, 1966",77.13
"Sep 1, 1966",77.81
"Aug 1, 1966",80.65
"Jul 1, 1966",85.84
"Jun 1, 1966",86.06
"May 1, 1966",86.78
"Apr 1, 1966",91.60
"Mar 1, 1966",88.88
"Feb 1, 1966",92.69
"Jan 1, 1966",93.32
"Dec 1, 1965",91.73
"Nov 1, 1965",92.15
"Oct 1, 1965",91.39
"Sep 1, 1965",89.38
"Aug 1, 1965",86.49
"Jul 1, 1965",84.91
"Jun 1, 1965",85.04
"May 1, 1965",89.28
"Apr 1, 1965",87.97
"Mar 1, 1965",86.83
"Feb 1, 1965",86.75
"Jan 1, 1965",86.12
"Dec 1, 1964",83.96
"Nov 1, 1964",85.44
"Oct 1, 1964",84.85
"Sep 1, 1964",83.41
"Aug 1, 1964",82.00
"Jul 1, 1964",83.22
"Jun 1, 1964",80.24
"May 1, 1964",80.72
"Apr 1, 1964",79.94
"Mar 1, 1964",78.80
"Feb 1, 1964",77.39
"Jan 1, 1964",76.45
"Dec 1, 1963",74.17
"Nov 1, 1963",72.62
"Oct 1, 1963",73.03
"Sep 1, 1963",72.85
"Aug 1, 1963",70.98
"Jul 1, 1963",69.07
"Jun 1, 1963",70.11
"May 1, 1963",70.14
"Apr 1, 1963",68.76
"Mar 1, 1963",65.67
"Feb 1, 1963",65.92
"Jan 1, 1963",65.06
"Dec 1, 1962",62.64
"Nov 1, 1962",60.04
"Oct 1, 1962",56.17
"Sep 1, 1962",58.00
"Aug 1, 1962",58.52
"Jul 1, 1962",56.97
"Jun 1, 1962",55.63
"May 1, 1962",62.99
"Apr 1, 1962",68.05
"Mar 1, 1962",70.29
"Feb 1, 1962",70.22
"Jan 1, 1962",69.07
"Dec 1, 1961",71.74
"Nov 1, 1961",71.08
"Oct 1, 1961",68.00
"Sep 1, 1961",67.26
"Aug 1, 1961",67.79
"Jul 1, 1961",65.44
"Jun 1, 1961",65.62
"May 1, 1961",66.50
"Apr 1, 1961",65.83
"Mar 1, 1961",64.12
"Feb 1, 1961",62.17
"Jan 1, 1961",59.72
"Dec 1, 1960",56.80
"Nov 1, 1960",55.47
"Oct 1, 1960",53.73
"Sep 1, 1960",54.81
"Aug 1, 1960",56.51
"Jul 1, 1960",55.84
"Jun 1, 1960",57.26
"May 1, 1960",55.22
"Apr 1, 1960",55.73
"Mar 1, 1960",55.02
"Feb 1, 1960",55.78
"Jan 1, 1960",58.03
"Dec 1, 1959",59.06
"Nov 1, 1959",57.23
"Oct 1, 1959",57.00
"Sep 1, 1959",57.05
"Aug 1, 1959",59.40
"Jul 1, 1959",59.74
"Jun 1, 1959",57.46
"May 1, 1959",57.96
"Apr 1, 1959",57.10
"Mar 1, 1959",56.16
"Feb 1, 1959",54.77
"Jan 1, 1959",55.62
"Dec 1, 1958",53.49
"Nov 1, 1958",52.50
"Oct 1, 1958",50.95
"Sep 1, 1958",48.96
"Aug 1, 1958",47.70
"Jul 1, 1958",45.98
"Jun 1, 1958",44.75
"May 1, 1958",43.70
"Apr 1, 1958",42.34
"Mar 1, 1958",42.11
"Feb 1, 1958",41.26
"Jan 1, 1958",41.12
"Dec 1, 1957",40.33
"Nov 1, 1957",40.35
"Oct 1, 1957",41.24
"Sep 1, 1957",43.98
"Aug 1, 1957",45.84
"Jul 1, 1957",48.51
"Jun 1, 1957",47.55
"May 1, 1957",46.78
"Apr 1, 1957",45.05
"Mar 1, 1957",44.03
"Feb 1, 1957",43.47
"Jan 1, 1957",45.43
"Dec 1, 1956",46.44
"Nov 1, 1956",45.76
"Oct 1, 1956",46.24
"Sep 1, 1956",46.84
"Aug 1, 1956",48.49
"Jul 1, 1956",48.78
"Jun 1, 1956",46.27
"May 1, 1956",46.54
"Apr 1, 1956",48.05
"Mar 1, 1956",47.49
"Feb 1, 1956",44.43
"Jan 1, 1956",44.15
"Dec 1, 1955",45.37
"Nov 1, 1955",44.95
"Oct 1, 1955",42.11
"Sep 1, 1955",44.34
"Aug 1, 1955",42.43
"Jul 1, 1955",42.69
"Jun 1, 1955",39.78
"May 1, 1955",37.60
"Apr 1, 1955",37.76
"Mar 1, 1955",36.50
"Feb 1, 1955",36.79
"Jan 1, 1955",35.60
"Dec 1, 1954",34.97
"Nov 1, 1954",33.44
"Oct 1, 1954",32.18
"Sep 1, 1954",31.45
"Aug 1, 1954",30.73
"Jul 1, 1954",30.13
"Jun 1, 1954",28.96
"May 1, 1954",28.73
"Apr 1, 1954",27.63
"Mar 1, 1954",26.57
"Feb 1, 1954",26.02
"Jan 1, 1954",25.46
"Dec 1, 1953",24.83
"Nov 1, 1953",24.50
"Oct 1, 1953",23.97
"Sep 1, 1953",23.27
"Aug 1, 1953",24.39
"Jul 1, 1953",24.29
"Jun 1, 1953",23.95
"May 1, 1953",24.84
"Apr 1, 1953",24.71
"Mar 1, 1953",25.99
"Feb 1, 1953",25.86
"Jan 1, 1953",26.18
"Dec 1, 1952",26.04
"Nov 1, 1952",25.03
"Oct 1, 1952",24.26
"Sep 1, 1952",24.78
"Aug 1, 1952",25.18
"Jul 1, 1952",25.08
"Jun 1, 1952",24.38
"May 1, 1952",23.73
"Apr 1, 1952",23.74
"Mar 1, 1952",23.81
"Feb 1, 1952",23.75
"Jan 1, 1952",24.19
"Dec 1, 1951",23.41
"Nov 1, 1951",22.71
"Oct 1, 1951",23.36
"Sep 1, 1951",23.48
"Aug 1, 1951",22.89
"Jul 1, 1951",21.93
"Jun 1, 1951",21.55
"May 1, 1951",21.93
"Apr 1, 1951",21.92
"Mar 1, 1951",21.63
"Feb 1, 1951",22.00
"Jan 1, 1951",21.21
"Dec 1, 1950",19.75
"Nov 1, 1950",19.83
"Oct 1, 1950",19.87
"Sep 1, 1950",19.08
"Aug 1, 1950",18.43
"Jul 1, 1950",17.38
"Jun 1, 1950",18.74
"May 1, 1950",18.44
"Apr 1, 1950",17.84
"Mar 1, 1950",17.35
"Feb 1, 1950",17.21
"Jan 1, 1950",16.88
"Dec 1, 1949",16.54
"Nov 1, 1949",16.11
"Oct 1, 1949",15.89
"Sep 1, 1949",15.49
"Aug 1, 1949",15.29
"Jul 1, 1949",14.76
"Jun 1, 1949",13.97
"May 1, 1949",14.78
"Apr 1, 1949",14.89
"Mar 1, 1949",14.91
"Feb 1, 1949",14.77
"Jan 1, 1949",15.36
"Dec 1, 1948",15.19
"Nov 1, 1948",15.29
"Oct 1, 1948",16.19
"Sep 1, 1948",15.76
"Aug 1, 1948",15.94
"Jul 1, 1948",16.42
"Jun 1, 1948",16.82
"May 1, 1948",16.15
"Apr 1, 1948",15.40
"Mar 1, 1948",14.30
"Feb 1, 1948",14.10
"Jan 1, 1948",14.83
